Tibetan,English,Author
འུ་ཚོས་མི་གསལ་བའམ་ཉམས་ཐལ་ཆེ་བ་དག་ཀྱང་ནང་ནས་དོར་ཆོག,So we can also eliminate the ones that are very vague or very stylized.,ted2019
གྲོང་གླེང་ལ་མིང་ཡོད།,Blocks have names.,ted2019
འདི་ནི་ཀུན་གྱིས་ཤེས་པའི་ཁྱད་ཆོས་ཤིག་རེད། གྲངས་འབོར་དག་ནི་ལྟོས་བཅས་སུ་གྲུབ་པ་སྟེ། འོད་ཀྱི་བཀྲག་ཚད་དང་སྒྲ་ཡི་མཐོ་དམའ་ལྟར་ལྟོས་བཅས་རེད།,This is a very well-known feature in which we perceive quantities in relative ways -- quantities like the intensity of light or the loudness of a sound.,ted2019
འདི་དག་ལ་སྒྱུ་རྩལ་མཛུབ་སྟོན་དང་མཛེས་ཆས་པ་ཡོད་མ་རེད་ལ། བསྐྱར་ལེན་གྱི་གོ་སྐབས་ཡོད་མ་རེད་ལ། གློག་འོད་དེ་བས་ཀྱང་ཡོད་མ་རེད།,"There were no art directors, no stylists, no chance for reshoots, not even any regard for lighting.",ted2019
རྨི་འདུན་འདི་གྲུབ་ཆེད་་་ ངས་ངོ་མ་བརྙན་སྟོན་འཕྲུལ་འཁོར་མགོ་སྟེང་ལ་གཞག་དགོས་བསམས།,"So, in order to realize this dream, I actually thought of putting a big-size projector on my head.",ted2019
སྐར་ཆ་༢༠རེའི་ནང་འཛམ་གླིང་ཡོངས་ནས་དབང་རྩའི་ནད་འདི་བྱུང་བའི་མི་རེ་ རྙེད་ཐུབ་ལ། འདི་ནི་་་ ད་ལྟ་འཛམ་གླིང་ན་ཁྱབ་རྒྱ་ཆེ་ཤོས་ཀྱི་དབང་རྩའི་ནད་ཅིག་རེད། དེའི་འབྱུང་རྐྱེན་མི་ཤེས་ལ་བཅོས་ཐབས་ཀྱང་རྙེད་ཀྱི་མེད།,"And across the world, every 20 minutes, one new person is diagnosed with autism, and although it's one of the fastest-growing developmental disorders in the world, there is no known cause or cure.",ted2019
རྒྱ་ནག་ཝེ་པོ་དྲ་ཐོག་ཏུ་ཚོར་བ་སྐྱེན་པའི་གནད་དོན་རིགས་བཀོལ་ཐབས་མེད།,It's so hard to post some sensitive words on the Chinese Weibo.,ted2019
ངས་དངོས་པོའམ་་་ འཚོ་བའི་ནང་ཐད་ཚོར་ཚུལ་གྱི་ཅ་ལག་་་ ཨང་ཀིའི་འཇིག་རྟེན་ནང་དྲངས་ཀྱི་ཡོད། དམིགས་ས་ནི་རྩིས་འཁོར་གྱི་མཐུད་ཁ་དེ་བས་མི་གཤིས་ཅན་དུ་འགྱུར་ཆེད་ཡིན།,"I was taking some part of the objects, or any of the intuitiveness of real life, and bringing them to the digital world, because the goal was to make our computing interfaces more intuitive.",ted2019
ངས་དེའི་སྐོར་དེ་རིང་འདིར་བསམ་གཞིག་བྱེད་ཀྱི་ཡོད། གང་ལགས་ཞེ་ན། སློབ་གྲྭ་འདིའི་ནང་གི་ཁྱེད་ཚོ་ཚང་མ་ བར་སྟོང་འདི་གསུབ་པར་གལ་ཆེན་པོ་ཆགས་ཡོད་པས་ཡིན།,And I think about that today because I am reminded and convinced that all of you in this school are very important parts of closing that gap.,ted2019
ཁོང་ཚོ་ས་དེར་སྡོད་དགོས་པ་དབུལ་ཕོངས་ཀྱི་རྐྱེན་གྱིས་མ་རེད།,And these are not really a people oppressed by poverty.,ted2019
ཁོང་གིས་གནད་དོན་དེ་ཁས་ལེན་བྱས་མེད། ཁོང་གིས་གལ་ཏེ་ རྩོམ་རིག་མི་མང་ཚོར་རག་རྒྱུ་ཡོད་པ་དང་རིན་གོང་རན་པོ་བྱས་ན་མི་མང་གིས་རྩོམ་རིག་ཀློག་ཐུབ་མཁན་ཚོས་ཀློག་གི་རེད།,"He felt that people who could read, would read, if you made literature affordable and available to them.",ted2019
རྒྱ་གར་གྱི་རྒྱལ་ནང་ཐོན་སྐྱེད་སྤྱི་འབོར་གྱི་དྲུག་ཆ་གཅིག་ནི་མུམཔཱེ་ནས་གྲུབ་ཤིང་།,One-sixth of the GDP in India is coming out of Mumbai.,ted2019
དངོས་གནས་ངོ་མཚར་ཡ་མེད་རེད་འདུག,That's fantastic.,ted2019
དཔེར་ན་འགུལ་འཕྲིན་གཉེར་སྐྱོང་མཐུན་གཉེར་དང་་་ རྒྱ་གར་གྱི་གཞུང་མིན་ལས་ཁུངས་ཀྱི་སྤྱོད་སྟངས་ནི་མི་འདྲའོ། ། ལས་ཁུངས་འདི་ཚོས་བྱས་ན་དབང་པོ་ཨང་དྲུག་པ་ལས་མེད་པ་ཅི་ཡིན་་་,"Companies like mobile-phone operators want to take this in a different way than the NGOs in India, thinking, ""Why can we only have 'Sixth Sense'?",ted2019
དེ་ལས་མང་བའི་ཉེ་འཁོར་གྱི་འགུལ་རྣམ་རྟོཊ་པར་སྙམ།,We want to know about dynamic things going around.,ted2019
ཉེ་ཆར་ངས་སྐྱེས་པ་ཞིག་དང་མཉམ་དུ་དགོང་ཟས་བཟས་པ་ཡིན། ཁོང་གིས་འུད་ཤོབ་ཆེན་པོས་ ཁོང་ལ་ཆུ་ཚོད་༤་རིང་གི་གཉིད་མ་གཏོགས་རག་མ་སོང་ཟེར།,I was recently having dinner with a guy who bragged that he had only gotten four hours sleep the night before.,ted2019
འདི་རུ་ཨང་ཀི1ནས12བར་ཡོད། ཡིན་ཡང་ངའི་མིག་ལམ་དུ་ ཨང་ཀི་རེ་རེར་སོ་སོའི་དབྱིབས་དང་ཁྱད་ཆོས་ཡོད་པ་རེད།,Here are the numbers one to 12 as I see them -- every number with its own shape and character.,ted2019
དངོས་ཡོད་ཐོག་འདི་ནི་འཆི་བའི་སྐོར་མ་རེད།,"Actually, it's not about death.",ted2019
བརྙན་རིས་འདི་ཚོ་ཚང་མ་སྒྲིག་ཆས་གྲུ་བཞི་མ་འདི་ཚོའི་ནང་བཏུམས་བཞག་ནས་་་ སྦ་ཁུག་ནང་བླུཊ་བཞག་གི་ཡོད།,"Because pixels are actually, right now, confined in these rectangular devices that fit in our pockets.",ted2019
དེ་ནི་ལོ་རྒྱུས་ཀྱི་དོན་དག་ཞིག་རེད། འོན་ཀྱང་གྲངས་རིག་གི་རྣམ་པ་ལྟར་མངོན་འོངས།,"That's a piece of history, but it comes in a mathematical wrapping.",ted2019
འདི་ལྟ་བུའི་རང་དབང་ནི་དམིགས་འབེན་བྱས་པ་ཞིག་རེད།,So this kind of freedom is a targeted and precise window.,ted2019
དེའི་རྒྱུ་མཚན་རི་མོ་འདི་ལ་བསམ་བློ་ཐོངས་དང་། སྐད་ཆ་མ་རེད། རི་མོ་འདི་ཟེར་བ་ཡིན།,"Because think of the picture -- not the word, the picture.",ted2019
དེར་རྟེན་ད་ལྟ་ངས་དངོས་གཟུཊ་འཇིག་རྟེན་ནང་གང་ཞིག་བྱས་ཀྱང་་་ ཨང་ཀིའི་འཇིག་རྟེན་ནང་འདི་བཞིན་འཆར་ཡོང་གི་རེད། ངས་ལོ་བརྒྱད་ཀྱི་སྔོན་ནས་བཟོས་པའི་ཡོ་བྱད་ཆུང་ངུ་དེ་བེད་སྤྱད་ན་འགྲིག དེ་ནི་ ༢༠༠༠ ལོ་ལ་ཡིན།,"So, here, whatever movement I do in my physical world is actually replicated inside the digital world just using this small device that I made, around eight years back, in 2000.",ted2019
ངས་འདི་གར་ལག་པ་ཁོ་ནས་ཁ་པར་བརྒྱག་ཆོག,"Here, I'm dialing a phone number just using my hand.",ted2019
སྐད་རིགས་སྨྲ་བ་ཚོས་བརྡ་སྤྲོད་ཀྱི་ནོར་འཕྱུག་ལ་གུ་ཡངས་གཏོང་རོགས། གང་ལེགས་ཞེ་ན། འདས་པའི་ལོ་ངོ་༡༠་རིང་ལ་ངས་འདི་ལ་ལྟ་རྒྱུ་བྱུང་མེད།,"And those linguists, please pardon the grammar, because I've not looked at it in the last 10 years.",ted2019
འོན་ཀྱང་། དབྱིན་ཡིག་ནང་དུ་ཚིག་༢༠་འམ་ཡང་ན་འབྲེལ་ཐག་ཐུང་ཐུང་ཞིག་རེད།,But in English it's 20 words or a sentence with a short link.,ted2019
རྒྱ་ནག་ལ་ཁྲིམས་ལུགས་དབང་ཆའི་ཁྱབ་ཁོངས་ཀྱི་ཕྱི་རོལ་ཏུ་ཞུ་གཏུག་ལམ་ལུགས་ཤིག་ཡོད། གང་ལེགས་ཞེ་ན། དབུས་གཞུང་གིས་ལུགས་སྲོལ་རྙིང་པ་ཞིག་རྒྱུན་སྐྱོང་འདོད་ཡོད། གོང་མ་ནི་སྐྱོན་མེད་དང་། ས་གནས་དཔོན་རིགས་ཚོ་ནི་ཇག་ཚོགས་ཤིག་ཡིན་པའི་ལྟ་སྟངས་རེད།,"It's a remedy outside the judicial system, because the Chinese central government wants to keep a myth: The emperor is good.",ted2019
ཁྱེད་རང་གུང་སེང་ལ་ག་རེ་བྱེད་པ་ཡིན།,What did you do over the weekend?,Tatoeba-2020.08
དེང་སང་གལ་འགངས་ཤིན་དུ་ཆེ་བའི་ས་ཁམས་ཀྱི་འགྱུར་བ་ཞིག་འབྱུང་བཞིན་པའི་སྒང་ཡིན་ཏེ།,"Basically, there's a major demographic event going on.",ted2019
ང་ཚོས་རེ་འདོད་བྱེད་པ་ནི་རྩིས་བགྲང་དང་་་ དངོས་གཟུཊ་འཇིག་རྟེན་མཉམ་བསྲེས་ཀྱི་དུས་རབས་ཤིག་ཡིན།,"So, we are looking for an era where computing will actually merge with the physical world.",ted2019
ཁྱེད་ཀྱིས་རྒྱ་ནག་ཏུ་རང་དབང་འདུག་འདོད་པ་དེ་རྒྱུན་ལྡན་མ་རེད།,"Something you find is, freedom is weird.",ted2019
འདི་མོ་རང་གི་རེད།མ་རེད་པས།,"It is hers, is it not?",Tatoeba-2020.08
ཁྱེད་རྣམས་དགོངས་པ་མ་ཚོམས་ཞུ་རྒྱུ་ཞིག་ལ། གལ་སྲིད། དེ་རིང་ངས་འདི་ནས་ “ཆེད་མཁས་པའི་འཁྲབ་སྟོན”དེ་རིགས་མ་བསྟན་ན་གུ་ཡངས་གནང་རོགས།,I hope you'll forgive me if I don't perform a kind of one-man savant show for you today.,ted2019
